word,grammatical
a,yes
above,yes
ah,yes
about,yes
across,yes
after,yes
against,yes
although,yes
around,yes
aside,yes
beneath,yes
beyond,yes
both,yes
could,yes
ahead,yes
albeit,yes
all,yes
along,yes
am,yes
an,yes
and,yes
another,yes
any,yes
anybody,yes
anyone,yes
anything,yes
are,yes
aren't,yes
as,yes
at,yes
because,yes
been,yes
before,yes
behind,yes
being,yes
below,yes
beside,yes
besides,yes
between,yes
but,yes
by,yes
can,yes
can't,yes
did,yes
didn't,yes
does,yes
doesn't,yes
despite,yes
do,yes
don't,yes
during,yes
each,yes
either,yes
every,yes
everybody,yes
everyone,yes
everything,yes
fewer,yes
for,yes
from,yes
gonna,yes
down,yes
except,yes
few,yes
gotta,yes
hadn't,yes
hasn't,yes
haven't,yes
he,yes
he'd,yes
he'll,yes
her,yes
hers,yes
herself,yes
he's,yes
him,yes
himself,yes
his,yes
hm,yes
however,yes
had,yes
has,yes
huh,yes
I,yes
I'd,yes
if,yes
I'll,yes
I'm,yes
in,yes
instead,yes
into,yes
is,yes
have,yes
inside,yes
less,yes
lots,yes
isn't,yes
it,yes
may,yes
might,yes
more,yes
near,yes
next to,yes
nope,yes
okay,yes
once,yes
one,yes
should,yes
there's,yes
though,yes
thus,yes
till,yes
while,yes
it'd,yes
its,yes
it's,yes
itself,yes
I've,yes
just,yes
many,yes
me,yes
mhm,yes
mightn't,yes
mine,yes
most,yes
much,yes
must,yes
mustn't,yes
my,yes
myself,yes
need to,yes
needn't,yes
neither,yes
no,yes
nobody,yes
none,yes
noone,yes
nor,yes
nothing,yes
nup,yes
of,yes
off,yes
oh,yes
on,yes
on top of,yes
onto,yes
or,yes
other,yes
ought,yes
our,yes
ours,yes
ourselves,yes
out,yes
outside,yes
over,yes
per,yes
several,yes
shall,yes
she,yes
she'd,yes
she'll,yes
she's,yes
since,yes
so,yes
some,yes
somebody,yes
someone,yes
something,yes
such,yes
than,yes
that,yes
that's,yes
the,yes
their,yes
theirs,yes
them,yes
themselves,yes
then,yes
thence,yes
therefore,yes
these,yes
they,yes
they'd,yes
they'll,yes
they're,yes
they've,yes
this,yes
those,yes
through,yes
throughout,yes
to,yes
toward,yes
towards,yes
uh,yes
uhuh,yes
um,yes
under,yes
underneath,yes
unh,yes
unh-unh,yes
unless,yes
unlike,yes
until,yes
unto,yes
up,yes
upon,yes
us,yes
via,yes
wanna,yes
was,yes
wasn't,yes
we,yes
we'd,yes
we'll,yes
were,yes
we're,yes
weren't,yes
we've,yes
what,yes
whatever,yes
when,yes
whence,yes
whenever,yes
where,yes
whereas,yes
wherever,yes
whether,yes
whilst,yes
will,yes
would,yes
yeah,yes
which,yes
whichever,yes
who,yes
whoever,yes
whom,yes
whomever,yes
yep,yes
yes,yes
whose,yes
with,yes
within,yes
without,yes
won't,yes
yet,yes
you,yes
you'd,yes
you'll,yes
your,yes
you're,yes
yours,yes
yourself,yes
yourselves,yes
youse,yes
you've,yes